How many years before the birth of Daenerys Targaryen is the show set?	172
Which actor plays King Viserys?	Paddy Considine
What position does Otto Hightower hold on the Small Council?	Hand of the King
Who beats Prince Daemon in The Heir's Tournament?	Ser Criston Cole
What is the name of the villain from the free cities in the War for the Stepstones?	The Crabfeeder
What is the seat of House Valeryon called?	High Tide
Which city does King Viserys build a sculpture of as a hobby?	Valyria
Which 2 actresses play Princess Rhaenyra?	Milly Alcock & Emma D'Arcy
What relation is Daemon to Rhaenarys?	Unlce
What is the name of the pig given to Aemond as a joke by his brother and nephews?	The Pink Dread
Which dragon does Aemond eventually claim as him own?	Vhagar
What is Larys Strong's nickname?	Clubfoot
In which part of King's Landing are children made to fight against each other in an arena?	Flea Bottom
Which dragon does Vhagar kill in the season finale?	Arrax
Who is made King after King Viserys' death?	Aegon II Targaryen
Mysaria, who leads a network of spies in King's Landing, also goes by what name?	The White Worm
Which actor played the Maester of Dragonstone?	Phil Daniels
Ser Laenor Valeryon fakes his death and escapes Driftmark with which other knight?	Ser Qarl Correy
What is the seat of House Baratheon called?	Storm's End
How are King Viserys I and Princess Rhaenys Targaryen related?	They are cousins
What is Prince Daemon's dragon called?	Caraxes
What drink is used to ease King Viserys' pain?	Milk of the Poppy
Who does Daemon decapitate in the throne room?	Ser Vaemond Velaryon
Which house controls the largest navy in Westeros	House Velaryon
What animal do King Viserys and his men hunt for in the woods?	A white stag
Famously spoken by Daenerys Targaryen on the show "Game of Thrones", what command does Rhaenyra Targaryen give to her dragon to light the funeral pyres of her dead mother and brother?	Dracarys
What does the command Dracarys mean?	is the nifty command the Targaryens use when they want their dragons to breathe fire
what language do the targaryens speak	High Valyrian
What was the name of the Targaryen king who reigned for sixty years and brought together lords from lands throughout the realm to announce who would become his heir?	Jaehaerys
What is the name of Rhaenyra Targaryens Dragon?	Syrax
Princess Rhaenyra Targaryen tells her mother that she'd like to serve as a knight and ride to battle and glory. What does her mother tell her is their battlefield?	The Childbed
Rhaenyra's mother, Aemma, dies how?	Childbirth with her second child
What name is given to the alliance between the Free Cities of Lys, Myr and Tyros that have undertaken to occupy the Narrow Sea that separates the continents of Westeros and Essos?	The Triarchy
Named after their attire, what name is given to the new City Watch of King's Landing that is led by the king's brother, Prince Daemon Targaryen?	The Golden Cloaks
King Viserys Targaryen hosts an event known as the 'Heirs Tournament' in recognition of the upcoming birth of his second child. What is the primary activity of this tournament?	Jousting
Tragically, the king's wife, Aemma, dies during the birth of their second child who also dies shortly after. What term does Prince Daemon Targaryen use to describe his nephew that angers King Viserys?	The heir for a day
ng Viserys Targaryen names his daughter, Princess Rhaenyra Targaryen his successor. In doing so, she also becomes the princess of which island whose castle is occupied by the heir to the Iron Throne?	Dragonstone
Daemon Targaryen attacks the army of Prince Drahar, 'The Crabfeeder', with his dragon Caraxes. Where does Drahar's army retreat to?	Caves
For what event does King Viserys hold a grand celebration with visitors from many prominent families?	The second Name day of his second child, his son Aegon
King Viserys's new Master of Ships, Tyland Lannister, implores the king to take what action that he had resisted doing for over three years?	Send troops and ships to Bloodstone to aid Daemon and Corlys
King Viserys Targaryen tries to betroth his daughter Rhaenyra to Jason Lannister. What does Jason tell Rhaenyra he can build for her at his castle on Casterly Rock?	a dragon pit
After Rhaenyra Targaryen rides away from the celebration arranged by her father, her and Ser Criston Cole end up getting ambushed. What type of animal that would later kill Robert Baratheon attacks Rhaenyra and Criston?	Boar
What does Daemon Targaryen do that leads the Triarchy army of Prince Drahar out of their cover?	He feigns surrendering.
Who helps save Daemon Targaryen by riding the dragon Seasmoke and taking out the archers of the Triarchy?	Laenor Velaryon
The second episode of "House of the Dragon" begins with the iconic main title theme music first used in the show "Game of Thrones". What Iranian-German individual composed the main title theme music for "House of the Dragon"?	Ramin Djawadi
What nickname is given to the Prince-Admiral Craghas Drahar of the Triarchy due to the ruthless way he treats his enemies?	Crabfeeder
King Viserys Targaryen tasks Princess Rhaenyra with selecting the next member of the Kingsguard. Why does she select Ser Criston Cole?	hes the only one with combat experience
King Viserys is recommended to marry Lady Laena by multiple members of his council. Who is Lady Laena's father, an extremely wealthy man known as the 'Sea Snake'?	Lord Corlys Velaryon
At various points it is explained that King Viserys Targaryen was the last rider of a dragon known as 'Black Dread'. Who was this dragon that was rode by Aegon the Conqueror during the War of Conquest?	Balerion
In his spare time King Viserys creates a stone model of Old Valyria. After one of the dragons in his model breaks, who makes him a replacement?	Alicent Hightower
What is stolen by Prince Daemon Targaryen and brought back to a castle that he is illegally occupying?	A Dragon's egg
In addition to stealing something valuable from the king, Prince Daemon Targaryen also announces that he will marry Mysaria. Why is this action considered unacceptable?	He's already married
As Daemon and Otto's soldiers are about to engage each other on a bridge, who rides in on a dragon, talks Daemon down and retrieves what was stolen?	Rhaenyra Targaryen
Upset over King Viserys's decisions, Lord Corlys Velaryon and Prince Daemon Targaryen discuss options. What common bond do Corlys and Daemon share that means their worth is not given and must be made?	both are second born sons
